Song title,Producer,VIRTUAL SINGER ver. singers,SEKAI ver. singers,Unit,3DPV,Date added,Description,Table,Expected release date,Date released,Date removed,Reason
Tell Your World,kz (livetune),Hatsune Miku,N/A,VIRTUAL SINGER,Yes,2020/09/30,,Table 1,,,,
Roki,MikitoP,Kagamine Rin,"Hoshino Ichika, Hatsune Miku",Leo/need,Yes,2020/09/30,,Table 1,,,,
Teo,OmoiSakurai (lyricist),Hatsune Miku,"Hoshino Ichika, Hatsune Miku",Leo/need,Yes,2020/09/30,,Table 1,,,,
Hibana -Reloaded-,DECO*27Arrangement by Rockwell,Hatsune Miku,"Hoshino Ichika, Hatsune Miku",Leo/need,No,2020/09/30,,Table 1,,,,
Time Machine,1640mP,Hatsune Miku,"Hoshino Ichika,Tenma Saki, Hatsune Miku",Leo/need,Yes,2021/02/10,,Table 1,,,,
Happy Synthesizer,EasyPop,"Hatsune Miku,Kagamine Rin,Megurine Luka,MEIKO",MORE MORE JUMP!,MORE MORE JUMP!,Yes,2020/09/30,,Table 1,,,,
Viva Happy,Mitchie M,Hatsune Miku,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,No,2020/10/11,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Nostalogic,yuukiss,MEIKO,"Kiritani Haruka,Hinomori Shizuku, MEIKO",MORE MORE JUMP!,No,2020/09/30,,Table 1,,,,
drop pop candy,GigaReol (lyricist),"Kagamine Rin, Megurine Luka","Azusawa Kohane, Shiraishi An, Kagamine Rin, Megurine Luka",Vivid BAD SQUAD,Yes,2021/02/15,,Table 1,,,,
Asu no Yozora Shoukaihan,Orangestar,IA,Hoshino Ichika,Leo/need,No,2020/10/01,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Charles,balloon,flower,"Shinonome Ena,Akiyama Mizuki","25-ji, Nightcord de.",Yes,2020/09/30,,Table 1,,,,
Dappou Rock,Neru,Kagamine Len,"Kagamine Len, Tenma Tsukasa, Kamishiro Rui",Wonderlands×Showtime,No,2020/10/04,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Inochi ni Kirawarete iru.,Kanzaki Iori,Hatsune Miku,"Yoisaki Kanade, Hatsune Miku","25-ji, Nightcord de.",No,2020/10/05,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Rettou Joutou,GigaReol (lyricist),"Kagamine Rin, Kagamine Len","Azusawa Kohane,Shiraishi An, Kagamine Rin,Kagamine Len",Vivid BAD SQUAD,Yes,2020/09/30,Magical Mirai 2018 Kagamine 10th Anniversary Theme Song,Table 1,,,,
Just Be Friends,Dixie Flatline,Megurine Luka,"Azusawa Kohane, Shiraishi An, Megurine Luka",Vivid BAD SQUAD,No,2020/10/03,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Doctor=Funkbeat,nyanyannya,KAITO,"KAITO,Shinonome Akito,Aoyagi Toya",Vivid BAD SQUAD,No,2020/09/30,,Table 1,,,,
Miracle Paint,OSTER project,Hatsune Miku,"Wonderlands×Showtime, Hatsune Miku",Wonderlands×Showtime,No,2020/10/13,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Buriki no Dance,Hinata Electric Works,Hatsune Miku,"Kagamine Len,Tenma Tsukasa,Kamishiro Rui",Wonderlands×Showtime,Yes,2020/09/30,,Table 1,,,,
Sweet Magic,Junky,"Hatsune Miku, Kagamine Rin, Kagamine Len, MEIKO, KAITO","Wonderlands×Showtime, Kagamine Rin",Wonderlands×Showtime,Yes,2020/09/30,,Table 1,,,,
Next Nest,Satsuki ga Tenkomori,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/09/30,Magical Mirai 2014 Theme Song,Table 1,,,,
Hand in Hand,kz (livetune),Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/10/08,"Magical Mirai 2015 Theme Song, 20 Consecutive Days! Daily Song Campaign",Table 1,,,,
39 Music!,MikitoP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/10/16,"Magical Mirai 2016 Theme Song, 20 Consecutive Days! Daily Song Campaign",Table 1,,,,
Greenlights Serenade,OmoiSakurai (lyricist),Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/12/29,Magical Mirai 2018 Theme Song,Table 1,,,,
Melt,ryo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/09/30,,Table 1,,,,
World is Mine,ryo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/10/06,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Hatsune Miku no Shoushitsu,cosMo@BousouP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/09/30,,Table 1,,,,
Blessing,halyosy,"Hatsune Miku, Kagamine Rin, Kagamine Len, Megurine Luka, MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2020/09/30,,Table 1,,,,
Hello/How Are You,Nanou,Hatsune Miku,"Hatsune Miku,Asahina Mafuyu, Shinonome Ena","25-ji, Nightcord de.",No,2020/09/30,,Table 1,,,,
Jishou Mushoku,Sasanomaly,Hatsune Miku,"Yoisaki Kanade, Asahina Mafuyu, Hatsune Miku","25-ji, Nightcord de.",Yes,2020/09/30,,Table 1,,,,
Dance Robot Dance,NayutalieN,Hatsune Miku,"Otori Emu,Kusanagi Nene, Hatsune Miku",Wonderlands×Showtime,Yes,2020/10/07,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Fragile,nulut,GUMI,"Shinonome Akito, Aoyagi Toya",Vivid BAD SQUAD,Yes,2020/09/30,,Table 1,,,,
Melty Land Nightmare,Harumaki Gohan,Hatsune Miku,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,Yes,2020/10/25,,Table 1,,,,
Tsugihagi Staccato,Toa,Hatsune Miku,"Hatsune Miku,Momoi Airi, Hinomori Shizuku",MORE MORE JUMP!,Yes,2020/09/30,,Table 1,,,,
Bless Your Breath,WADATAKEAKI (KurageP),Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/01/04,Magical Mirai 2019 Theme Song,Table 1,,,,
Near,Natsushiro TakaakiArrangement by Takuya Watanabe,Hatsune Miku,"Hatsune Miku, Hanasato Minori, Kiritani Haruka",MORE MORE JUMP!,Yes,2020/10/02,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Hitorinbo Envy,koyori,Hatsune Miku,"Yoisaki Kanade, Akiyama Mizuki, Hatsune Miku","25-ji, Nightcord de.",Yes,2020/12/14,,Table 1,,,,
Umiyuri Kaiteitan,n-buna,Hatsune Miku,"Hoshino Ichika,Mochizuki Honami, Hatsune Miku",Leo/need,Yes,2020/12/01,,Table 1,,,,
Bouken no Sho ga Kiemashita!,JesusP,"Kagamine Rin, Kagamine Len","Kagamine Len, Kagamine Rin, Tenma Tsukasa,Otori Emu",Wonderlands×Showtime,No,2020/09/30,,Table 1,,,,
Yobanashi Deceive,Jin,IA,"Shinonome Akito, Aoyagi Toya, Kagamine Len",Vivid BAD SQUAD,No,2020/10/09,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
alive,Ichinose LUPO,Kagamine Rin,N/A,VIRTUAL SINGER,No,2020/09/30,First song contest winner,Table 1,,,,
Gimme×Gimme,"Hachioji-P, Gigaq*Left (lyricist)","Kagamine Rin, Hatsune Miku",N/A,VIRTUAL SINGER,No,2020/10/10,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Junky Night Town Orchestra,Surii,Kagamine Len,N/A,VIRTUAL SINGER,No,2020/10/12,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Leia -Remind,Yuyoyuppe,Megurine Luka,N/A,VIRTUAL SINGER,No,2020/10/18,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
on the rocks,OSTER project,"MEIKO, KAITO",N/A,VIRTUAL SINGER,No,2020/10/14,20 Consecutive Days! Daily Song Campaign,Table 1,,,,
Renai Saiban,40mP,Hatsune Miku,"Hatsune Miku, Hanasato Minori, Momoi Airi",MORE MORE JUMP!,No,2020/12/30,,Table 1,,,,
Chururira Chururira Daddadda!,WADATAKEAKI (KurageP),N/A,Wonderlands×Showtime,Wonderlands×Showtime,Yes,2021/01/03,,Table 1,,,,
Dramaturgy,EveArrangement by Numa,Hatsune Miku,"Hatsune Miku, Hoshino Ichika",Leo/need,No,2020/12/28,,Table 1,,,,
Otome Kaibou,"DECO*27Arrangement by emon(Tes.), Rockwell",Hatsune Miku,"Hatsune Miku, Asahina Mafuyu, Akiyama Mizuki","25-ji, Nightcord de.",No,2020/11/01,,Table 1,,,,
Aoku Kakero!,marasy,Hatsune Miku,"Hoshino Ichika, Hatsune Miku",Leo/need,No,2020/10/17,"""Pocari Sweat"" Ambassador theme, 20 Consecutive Days! Daily Song Campaign",Table 1,,,,
Totemo Itai Itagaritai,EZFG,VY2V3,"Asahina Mafuyu, Shinonome Ena, Hatsune Miku","25-ji, Nightcord de.",No,2021/01/05,,Table 1,,,,
Ifuudoudou,Umetora,"Megurine Luka, Hatsune Miku, GUMI, IA, Kagamine Rin","Shinonome Akito, Aoyagi Toya, KAITO",Vivid BAD SQUAD,Yes,2021/03/15,,Table 1,,,,
from Y to Y,JimmyThumb-P,Hatsune Miku,"Leo/need, Hatsune Miku",Leo/need,No,2021/03/22,,Table 1,,,,
Lost One no Goukoku,Neru,Kagamine Rin,"Hoshino Ichika, Hinomori Shiho, Kagamine Rin",Leo/need,Yes,2021/10/02,"Project SEKAI Championship 2021 Autumn final round song, 1st Anniversary Song Campaign",Table 1,,,,
ECHO,Crusher-P,GUMI,"VIVID BAD SQUAD, Megurine Luka",Vivid BAD SQUAD,No,2021/01/02,,Table 1,,,,
Yuurei Tokyo,Ayase,Hatsune Miku,"Shinonome Akito, Aoyagi Toya, KAITO",Vivid BAD SQUAD,No,2021/05/03,Ayase Tie-In,Table 1,,,,
Cendrillon 10th Anniversary,Dios/SignalP,"Hatsune Miku, KAITO",N/A,VIRTUAL SINGER,No,2022/01/01,New Year's Song Campaign (2021-2022),Table 1,,,,
Oki ni Mesu mama,Eve,Hatsune Miku,"Wonderlands×Showtime, Kagamine Len",Wonderlands×Showtime,Yes,2021/04/05,,Table 1,,,,
Milk Crown on Sonechka,Yujii,Hatsune Miku,"Hatsune Miku, Hanasato Minori, Hinomori Shizuku",MORE MORE JUMP!,No,2021/02/06,,Table 1,,,,
Aisarenakute mo Kimi ga Iru,PinocchioP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/11/30,Magical Mirai 2020 Theme Song,Table 1,,,,
Hibikase,GigaLyric by Reol,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/01/18,,Table 1,,,,
Senbonzakura,Kurousa-P,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/01/01,RAGE Project SEKAI 2020 Winter final round song,Table 1,,,,
Cutlery,Yuukisan,Hatsune Miku,"Hatsune Miku, Yoisaki Kanade, Asahina Mafuyu","25-ji, Nightcord de.",No,2021/09/21,,Table 1,,,,
Rollin' Girl,wowaka,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/11/14,,Table 1,,,,
Ura-omote Lovers,wowaka,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/11/21,,Table 1,,,,
Unknown Mother Goose,wowaka,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/11/23,,Table 1,,,,
ODDS&ENDS,ryo,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/12/24,,Table 1,,,,
"*Hello, Planet.",sasakure.UK,Hatsune Miku,N/A,VIRTUAL SINGER,No,2020/12/31,,Table 1,,,,
World's End Dancehall,wowaka,"Hatsune Miku, Megurine Luka",N/A,VIRTUAL SINGER,No,2021/01/14,,Table 1,,,,
Ikanaide,Sohta,Kaai Yuki,"Hoshino Ichika, Tenma Saki, Hatsune Miku",Leo/need,Yes,2021/05/28,,Table 1,,,,
Romeo and Cinderella,doriko,Hatsune Miku,"Momoi Airi, Hinomori Shizuku, Hatsune Miku",MORE MORE JUMP!,Yes,2021/06/07,,Table 1,,,,
Positive☆Dance Time,kinoshita,"Otomachi Una, Kagamine Rin","Otori Emu, Kusanagi Nene, Kagamine Rin",Wonderlands×Showtime,No,2021/02/19,,Table 1,,,,
Dreamin Chuchu,emon(Tes.),Megurine Luka,"MORE MORE JUMP!, Megurine Luka",MORE MORE JUMP!,No,2021/04/12,,Table 1,,,,
Miku Miku ni Shite Ageru ♪ 【Shiteyanyo】,ika,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/03/09,,Table 1,,,,
Bocca della Verità,Hiiragi Kirai,flower,"Asahina Mafuyu, Akiyama Mizuki","25-ji, Nightcord de.",No,2021/03/06,,Table 1,,,,
Brand New Day,irucaice,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/02/22,1st Proseka NEXT Song ContestWinner,Table 1,,,,
Bitter Choco Decoration,syudou,Hatsune Miku,"25-ji, Nightcord de., Hatsune Miku","25-ji, Nightcord de.",Yes,2021/07/28,,Table 1,,,,
Hatsune Miku no Gekishou,cosMo@BousouP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/03/30,,Table 1,,,,
Akuma no Odorikata,Kitani Tatsuya,Kagamine Rin,"Vivid BAD SQUAD, Kagamine Rin",Vivid BAD SQUAD,Yes,2021/10/08,1st Anniversary Song Campaign,Table 1,,,,
Telecaster B-Boy,Surii,Kagamine Len,"Wonderlands×Showtime, Kagamine Len",Wonderlands×Showtime,No,2021/10/06,1st Anniversary Song Campaign,Table 1,,,,
Roku-chou Nen to Ichiya Monogatari,kemu,IA,"Hoshino Ichika, Hatsune Miku",Leo/need,No,2021/07/12,kemu Tie-In,Table 1,,,,
Children Record,Jin,IA,"Vivid BAD SQUAD, Kagamine Len",Vivid BAD SQUAD,Yes,2021/08/23,Kagerou Project Tie-In,Table 1,,,,
Hana o Utau,shino,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/04/26,2nd Proseka NEXT Song ContestWinner,Table 1,,,,
KING,Kanaria,GUMI,"Tenma Tsukasa, Kamishiro Rui",Wonderlands×Showtime,No,2021/05/17,,Table 1,,,,
Yoru ni Kakeru,Ayase,Hatsune Miku,"Yoisaki Kanade, Hatsune Miku","25-ji, Nightcord de.",No,2021/05/01,Ayase Tie-In,Table 1,,,,
Traffic Jam,Niru Kajitsu,flower,"Vivid BAD SQUAD, Kagamine Rin",Vivid BAD SQUAD,No,2021/06/30,,Table 1,,,,
Venom,Kairiki Bear,flower,"Shinonome Ena, Akiyama Mizuki","25-ji, Nightcord de.",No,2021/10/04,1st Anniversary Song Campaign,Table 1,,,,
Remote Control,WONDERFUL☆OPPORTUNITY!,"Kagamine Rin, Kagamine Len","Otori Emu, Kusanagi Nene, Kagamine Rin, Kagamine Len",Wonderlands×Showtime,No,2022/05/16,,Table 1,,,,
Karakuri Pierrot,40mP,Hatsune Miku,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,Yes,2021/11/29,,Table 1,,,,
ray,"Fujiwara Motoo, BUMP OF CHICKEN",Hatsune Miku,"Hoshino Ichika, Hatsune Miku",Leo/need,Yes,2021/10/12,1st Anniversary Song Campaign,Table 1,,,,
Tokio Funka,takamatt,GUMI,N/A,VIRTUAL SINGER,No,2021/10/07,1st Anniversary Song Campaign,Table 1,,,,
Utakata Mirai,Negi Shower-P (Kaga),Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/06/14,3rd Proseka NEXT Song ContestWinner,Table 1,,,,
Dareka no Shinzou ni Nareta Nara,YurryCanon,GUMI,N/A,VIRTUAL SINGER,No,2021/10/09,1st Anniversary Song Campaign,Table 1,,,,
Miku,Anamanaguchi,Hatsune Miku,N/A,VIRTUAL SINGER,Yes,2022/03/09,"Global server time-exclusive song,Miku Day 2022",Table 1,,,,
Chikyuu Saigo no Kokuhaku o,kemu,GUMI,"Kiritani Haruka, Hinomori Shizuku, Megurine Luka",MORE MORE JUMP!,No,2021/07/19,kemu Tie-In,Table 1,,,,
Shinpakusuu♯0822,Chouchou-P,Hatsune Miku,"Hoshino Ichika, Mochizuki Honami, Hatsune Miku",Leo/need,No,2022/01/24,,Table 1,,,,
Marshmary,MIMI,Hatsune Miku,"Hanasato Minori, Momoi Airi, Hatsune Miku",MORE MORE JUMP!,No,2021/10/10,1st Anniversary Song Campaign,Table 1,,,,
Nonsense Bungaku,EveArrangement by Numa,Hatsune Miku,"Tenma Tsukasa, Kamishiro Rui, Kagamine Len",Wonderlands×Showtime,No,2022/02/24,Eve Tie-In,Table 1,,,,
Endmark ni Kibou to Namida o Soete,cosMo@BousouP,N/A,N/A,N/A,No,2022/01/08,Project SEKAI×CHUNITHM NEW!! Collaboration,Table 1,,,,
the EmpErroR,sasakure.UK,N/A,N/A,N/A,No,2022/01/09,Project SEKAI×maimai DX UNiVERSE Collaboration,Table 1,,,,
Don't Fight The Music,Chroma,N/A,N/A,N/A,No,2022/01/10,Project SEKAI×O.N.G.E.K.I. bright Collaboration,Table 1,,,,
Sou Datta!!,Takenoko Shounen,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/08/06,4th Proseka NEXT Song ContestWinner,Table 1,,,,
Alter Ego,Misumi,Hatsune Miku,"Vivid BAD SQUAD, Hatsune Miku",Vivid BAD SQUAD,No,2021/11/10,,Table 1,,,,
Darling Dance,Kairiki Bear,Hatsune Miku,"Hanasato Minori, Kiritani Haruka, Hatsune Miku",MORE MORE JUMP!,No,2022/04/25,,Table 1,,,,
Shoujorei,MikitoP,Hatsune Miku,"Kiritani Haruka, Hinomori Shizuku, Hatsune Miku",MORE MORE JUMP!,Yes,2022/01/02,New Year's Song Campaign (2021-2022),Table 1,,,,
Villain,Teniwoha,flower,"Asahina Mafuyu, Akiyama Mizuki","25-ji, Nightcord de.",Yes,2021/12/31,New Year's Song Campaign (2021-2022),Table 1,,,,
Kagerou Daze,Jin,Hatsune Miku,"Leo/need, Hatsune Miku",Leo/need,No,2021/08/15,Kagerou Project Tie-In,Table 1,,,,
Happy Halloween,Junky,Kagamine Rin,"MORE MORE JUMP!, Kagamine Rin",MORE MORE JUMP!,No,2021/10/31,,Table 1,,,,
"1, 2 Fanclub",MikitoP,"Kagamine Rin, GUMI","Wonderlands×Showtime, Kagamine Rin",Wonderlands×Showtime,Yes,2022/03/14,,Table 1,,,,
Haikei Doppelganger,kemu,GUMI,N/A,VIRTUAL SINGER,No,2021/10/05,1st Anniversary Song Campaign,Table 1,,,,
Migikata no Chou,NoriPYura Mizuno (lyricist),Kagamine Len,N/A,VIRTUAL SINGER,No,2021/10/11,1st Anniversary Song Campaign,Table 1,,,,
Roshin Yuukai,iroha(sasaki)kuma(alfred) (lyricist),Kagamine Rin,N/A,VIRTUAL SINGER,No,2021/10/01,1st Anniversary Song Campaign,Table 1,,,,
Aishite Aishite Aishite,Kikuo,Hatsune Miku,"Asahina Mafuyu, Shinonome Ena, Hatsune Miku","25-ji, Nightcord de.",Yes,2022/02/07,,Table 1,,,,
fixer,nulut,flower,"Tenma Tsukasa, Kamishiro Rui",Wonderlands×Showtime,No,2021/12/28,New Year's Song Campaign (2021-2022),Table 1,,,,
"Hello,world!","Fujiwara Motoo, BUMP OF CHICKEN",Hatsune Miku,"Leo/need, Hatsune Miku",Leo/need,No,2021/10/13,1st Anniversary Song Campaign,Table 1,,,,
Sick of House!,OZON,"Kagamine Len, Kagamine Rin",N/A,VIRTUAL SINGER,No,2021/10/22,5th Proseka NEXT Song ContestWinner,Table 1,,,,
Hatsune Tenchikaibyaku Shinwa,cosMo@BousouP,Hatsune Miku,N/A,VIRTUAL SINGER,No,2021/11/05,Magical Mirai 2021 Theme Song,Table 1,,,,
Kokoroyohou,EveArrangement by TAKU INOUE and Numa,Hatsune Miku,"MORE MORE JUMP!, Hatsune Miku",MORE MORE JUMP!,No,2022/03/02,Eve Tie-In,Table 1,,,,
